,표준산업분류코드,표준산업분류(중),데이터건수
0,30,자동차 및 트레일러 제조업,4
1,14,의복 의복 액세서리 및 모피제품 제조업,37
2,41,종합 건설업,58
3,34,산업용 기계 및 장비 수리업,68
4,70,연구개발업,131
5,58,출판업,323
6,74,사업시설 관리 및 조경 서비스업,349
7,42,전문직별 공사업,467
8,60,방송업,560
9,21,의료용 물질 및 의약품 제조업,698
10,87,사회복지 서비스업,731
11,50,수상 운송업,984
12,35,전기 가스 증기 및 공기 조절 공급업,1308
13,29,기타 기계 및 장비 제조업,1511
14,71,전문 서비스업,1752
15,10,식료품 제조업,1805
16,62,컴퓨터 프로그래밍 시스템 통합 및 관리업,1956
17,76,임대업; 부동산 제외,2004
18,18,인쇄 및 기록매체 복제업,2051
19,66,금융 및 보험관련 서비스업,2159
20,45,자동차 및 부품 판매업,2738
21,33,기타 제품 제조업,2876
22,59,영상ㆍ오디오 기록물 제작 및 배급업,2892
23,94,협회 및 단체,3098
24,51,항공 운송업,3903
25,90,창작 예술 및 여가관련 서비스업,4361
26,46,도매 및 상품 중개업,4403
27,68,부동산업,5134
28,75,사업 지원 서비스업,5608
29,84,공공 행정 국방 및 사회보장 행정,5960
30,55,숙박업,6356
31,95,개인 및 소비용품 수리업,7384
32,85,교육 서비스업,7860
33,52,창고 및 운송관련 서비스업,7929
34,65,보험 및 연금업,8382
35,73,기타 전문 과학 및 기술 서비스업,9263
36,61,우편 및 통신업,10324
37,86,보건업,13981
38,96,기타 개인 서비스업,15058
39,91,스포츠 및 오락관련 서비스업,15428
40,49,육상 운송 및 파이프라인 운송업,18603
41,56,음식점 및 주점업,29457
42,47,소매업; 자동차 제외,92135
