,표준산업분류코드,표준산업분류(중),데이터건수
0,41,종합 건설업,12
1,14,의복 의복 액세서리 및 모피제품 제조업,38
2,74,사업시설 관리 및 조경 서비스업,55
3,70,연구개발업,68
4,58,출판업,121
5,34,산업용 기계 및 장비 수리업,159
6,60,방송업,186
7,42,전문직별 공사업,194
8,21,의료용 물질 및 의약품 제조업,252
9,87,사회복지 서비스업,294
10,71,전문 서비스업,400
11,35,전기 가스 증기 및 공기 조절 공급업,457
12,18,인쇄 및 기록매체 복제업,506
13,10,식료품 제조업,592
14,94,협회 및 단체,712
15,50,수상 운송업,837
16,29,기타 기계 및 장비 제조업,865
17,33,기타 제품 제조업,920
18,51,항공 운송업,972
19,76,임대업; 부동산 제외,1237
20,62,컴퓨터 프로그래밍 시스템 통합 및 관리업,1269
21,90,창작 예술 및 여가관련 서비스업,1379
22,59,영상ㆍ오디오 기록물 제작 및 배급업,1392
23,75,사업 지원 서비스업,1553
24,45,자동차 및 부품 판매업,1729
25,66,금융 및 보험관련 서비스업,2272
26,68,부동산업,2551
27,55,숙박업,2631
28,46,도매 및 상품 중개업,3138
29,85,교육 서비스업,3285
30,73,기타 전문 과학 및 기술 서비스업,3920
31,84,공공 행정 국방 및 사회보장 행정,4269
32,52,창고 및 운송관련 서비스업,5233
33,95,개인 및 소비용품 수리업,6156
34,65,보험 및 연금업,7046
35,91,스포츠 및 오락관련 서비스업,7434
36,61,우편 및 통신업,8789
37,96,기타 개인 서비스업,9824
38,86,보건업,10736
39,49,육상 운송 및 파이프라인 운송업,13032
40,56,음식점 및 주점업,23286
41,47,소매업; 자동차 제외,68037
